,Court,Last Hearing Date,Court ID
3475,Augusta,09/17/2020,015C
3489,Augusta,06/12/2020,015C
3493,Augusta,09/09/2020,015C
3505,Augusta,01/30/2020,015C
3517,Augusta,07/09/2020,015C
3530,Augusta,11/20/2020,015C
3543,Augusta,12/02/2020,015C
3544,Augusta,10/20/2020,015C
3553,Augusta,08/11/2020,015C
3572,Augusta,03/06/2020,015C
3583,Augusta,08/21/2020,015C
3603,Augusta,11/23/2020,015C
3611,Augusta,08/25/2020,015C
3612,Augusta,07/23/2020,015C
3614,Augusta,09/23/2020,015C
3623,Augusta,06/18/2020,015C
3624,Augusta,09/28/2020,015C
3625,Augusta,06/10/2020,015C
3636,Augusta,09/29/2020,015C
3652,Augusta,12/09/2020,015C
3659,Augusta,08/04/2020,015C
3661,Augusta,08/26/2020,015C
3673,Augusta,11/05/2020,015C
3681,Augusta,09/14/2020,015C
3685,Augusta,11/13/2020,015C
3729,Augusta,02/07/2020,015C
3730,Augusta,10/28/2020,015C
3745,Augusta,05/29/2020,015C
3747,Augusta,01/03/2020,015C
3753,Augusta,11/17/2020,015C
3781,Augusta,12/25/2020,015C
3831,Augusta,10/09/2020,015C
3844,Augusta,11/04/2020,015C
3849,Augusta,10/08/2020,015C
3865,Augusta,10/23/2020,015C
3870,Augusta,10/22/2020,015C
3938,Augusta,04/20/2020,015C
3958,Augusta,01/28/2020,015C
3959,Augusta,06/16/2020,015C
3967,Augusta,03/17/2020,015C
3980,Augusta,10/27/2020,015C
3996,Augusta,02/20/2020,015C
4006,Augusta,05/27/2020,015C
4016,Augusta,06/25/2020,015C
4022,Augusta,10/21/2020,015C
4059,Augusta,07/16/2020,015C
4065,Augusta,12/01/2020,015C
4089,Augusta,06/09/2020,015C
4101,Augusta,05/19/2020,015C
4124,Augusta,11/18/2020,015C
4145,Augusta,02/28/2020,015C
4164,Augusta,01/07/2020,015C
4216,Augusta,04/01/2020,015C
4242,Augusta,03/26/2020,015C
4245,Augusta,02/06/2020,015C
4409,Augusta,11/19/2020,015C
4417,Augusta,10/16/2020,015C
4444,Augusta,01/06/2020,015C
4448,Augusta,01/15/2020,015C
4461,Augusta,11/30/2020,015C
4462,Augusta,05/28/2020,015C
4488,Bath,09/17/2020,017C
4489,Bath,07/22/2020,017C
4492,Bath,09/21/2020,017C
4493,Bath,08/12/2020,017C
4497,Bath,06/15/2020,017C
