Judge,Year,Court
Ms Ruth P. Bates,2005,Roanoke County Juvenile & Domestic Relations District Court
Ms Linda M. Beatty,2005,Warren Juvenile & Domestic Relations District Court
Ms Christine C. Beck,2005,Carroll Combined District and JD & R Court
Hon David A. Bell,2005,Arlington Circuit Court
Ms Judy R. Bell,2005,Floyd Combined District and JD & R Court
Hon Jim M. Bevins Jr.,2005,Buchanan Circuit Court
Hon Carol W. Black,2005,Bedford Circuit Court
Ms Gloria M. Blankenship,2005,Powhatan Combined District and JD & R Court
Hon James E. Blevins,2005,Tazewell Circuit Court
Ms Sandra Cox Blount,2005,Richmond-Civil General District Court
Hon Malcolm Booker Jr.,2005,Buckingham Circuit Court
Ms Donna Coffey Bosserman,2005,Augusta Juvenile & Domestic Relations District Court
Ms Donna Coffey Bosserman,2005,Staunton Juvenile & Domestic Relations District Court
Hon Peggy A. Bostic,2005,Craig Circuit Court
Ms Debra C. Bostic,2005,Radford Combined District and JD & R Court
Ms Teresa B. Bowden,2005,Isle of Wight Juvenile & Domestic Relations District Court
Mr Richard H. Bowling,2005,Richmond-Criminal General District Court
Ms Jane Carter Branson,2005,Westmoreland General District Court
Ms Brenda C. Brown,2005,Suffolk General District Court
Ms Janet L. Brown,2005,Culpeper Combined District and JD & R Court
Ms Wanda E. Brownlee,2005,Richmond County Combined District and JD & R Court
Ms Jacqueline Preston Brubaker,2005,Franklin County General District Court
Ms Barbara S. Brubaker,2005,Page General District Court
Ms Jacqueline Preston Brubaker,2005,Pittsylvania General District Court
Hon Diane Bruce,2005,Rappahannock Circuit Court
Ms Michele Joyce Bryant,2005,Patrick Juvenile & Domestic Relations District Court
Ms Debra V. Bull,2005,Warren General District Court
Ms Kyra Lynn Bullock,2005,Spotsylvania General District Court
Hon Allan C. Burke,2005,Montgomery Circuit Court
Ms Lisa Demaris Burnett,2005,Wythe Juvenile & Domestic Relations District Court
Hon Karen A. Butler,2005,New Kent Circuit Court
Hon Helen Butts,2005,Clarke Circuit Court
Ms Marie S. Cagwin,2005,New Kent General District Court
Hon E. E. Callis III,2005,Mathews Circuit Court
Ms Martha L. Campbell,2005,Lexington/Rockbridge Combined District and JD & R Court
Hon Ray S. Campbell Jr.,2005,Caroline Circuit Court
Ms C. Sue Canady,2005,Portsmouth Juvenile & Domestic Relations District Court
Hon Darlene W. Carpenter,2005,Bath Circuit Court
Hon W. R. Carter Jr.,2005,Suffolk Circuit Court
Hon Gwynne J. Chatham,2005,Westmoreland Circuit Court
Ms Ellen Taylor Chiasson,2005,Prince George Combined District and JD & R Court
Ms Theresa A. Childress,2005,Roanoke County General District Court
Ms Judith C. Childress,2005,Pulaski Juvenile & Domestic Relations District Court
Ms Deborah R. Childress,2005,Dickenson Combined District and JD & R Court
Ms Monica Arlene Christian,2005,Clarke General District Court
Hon Gail P. Clayton,2005,Surry Circuit Court
Hon Gary M. Clemens,2005,Loudoun Circuit Court
Ms S. Lynn Coates,2005,Westmoreland Juvenile & Domestic Relations District Court
Hon Christopher W. Coleman,2005,Buena Vista Circuit Court
Ms Veresia W. Coleman,2005,Halifax General District Court
Hon E. E. Coleman Jr.,2005,Mecklenburg Circuit Court
Ms Ellen S. Collier,2005,Greene Combined District and JD & R Court
Ms Connie S. Comer,2005,Tazewell General District Court
Hon Dollie M. Compton,2005,Russell Circuit Court
Hon Robert W. Conner,2005,Halifax Circuit Court
Ms Heather Dawn Cooper,2005,Lynchburg Juvenile & Domestic Relations District Court
Hon Samuel H. Cooper Jr.,2005,Accomack Circuit Court
Ms Cindy S. Cornwell,2005,Madison Combined District and JD & R Court
Hon Wayne M. Cosby,2005,Southampton Circuit Court
Hon Kathy P. Crane,2005,Washington Circuit Court
Hon Chance Crawford,2005,Salem Circuit Court
Ms Deborah K. Daughtrey,2005,Richmond Juvenile & Domestic Relations District Court
Hon Rex A. Davis,2005,Newport News Circuit Court
Hon John B. Davis,2005,Augusta Circuit Court
Ms Dee Balderson Davis,2005,Essex Combined District and JD & R Court
Ms Patricia Marie Davis,2005,Rappahannock Combined District and JD & R Court
Hon Bevill M. Dean,2005,Richmond Circuit Court
Hon Bevill M. Dean,2005,Richmond Manchester Circuit Court
Hon Barbara G. Decatur,2005,Stafford Circuit Court
